Date;Time;Location;Location_attack;Location_attack2;Location_attack3;Activity;Water clarity;Water depth;Description;Shark
04/12/2021; 6:00 pm;Kailua-Kona; Banyans; approx 130 yds from shore;;Surfing;Turbid;est 6 ft;Lacerations to left forearm.;White shark, length estimated at 15 feet
07/11/2021; 10:30 am;Maui; Lahaina; Mala Wharf; approx 200 yds from shore;Spearfishing;Turbid;est 60 ft;Lacerations to upper right thigh. Considered a provoked incident.;Requiem shark, length 4-6 feet
15/05/2021; 4:40 pm;Maui; Kanaha; 400-500 yds from shore;;Surfing - kite;Turbid;10-15 ft;Minor lacerations and puncture wounds to lower back. Considered a provoked incident.;Tiger shark, length 5-8 feet
03/05/2021; 3:30 pm;Oahu; Kaneohe; North Beach; approx 10 yds from shore;Surfing;Clear;est 3 ft;Multiple lacerations to left leg below knee.;Requiem shark, length 5-6 feet
20/04/2021; 8:50 am;Hawaii; Kukio Bay; approx 500 yds from shore;;Swimming;Clear;est 60 ft;Laceration to right leg below knee.;Tiger shark, length 8-10 feet
06/02/2021; 4:30 pm;Kauai; Waiokapua Bay; approx 100 yds from shore;;Surfing;Clear;est 6-10 ft;"No injury; shark bit nose of surfboard.";Tiger shark, length 12-14 feet
22/01/2021; 7:20 am;Maui; Kaanapali; Kahekili beach; 80-100 yds from shore;Swimming;Turbid;25-30 ft;Lacerations to lower right leg.;Tiger shark, length 8-10 feet
02/01/2021; 7:30 am;Hawaii; Anaehoomalu; approx 100 yds from shore;;Swimming;Clear;15-20 ft;Lacerations to lower right leg.;Species and length unknown
08/12/2020; 7:55 am;Maui; Honolua Bay; approx 20 yds from shore;;Surfing;Turbid;est 10 ft;Fatal. Severe lacerations to left leg.;Tiger shark, length estimated at 14 feet
04/12/2020; 7:45 am;Hawaii; Waikoloa; Makaiwa Bay;;Stand-up paddleboarding;Turbid;est 3-4 ft;"No injury; shark bit tail of SUP";Species unknown, length estimated at 6 feet
26/11/2020; 2:55 pm;Maui; Honokowai; 50-100 yds from shore;;Snorkeling;Turbid;est 12 ft;Severe lacerations to torso, left arm, and forehead.;Tiger shark, length uncertain
06/09/2020; 4:00 pm;Hawaii; Puako; Kapuniau Point; approx 100 yds from shore;Snorkeling;Turbid;est 8 ft;Lacerations to left ankle.;Requiem shark, length 8-10 feet
01/06/2020; 8:25 am;Kauai; Kekaha; Davidson's Beach; approx 100 yds from shore;Surfing;Turbid;4-6 feet;Laceration to right hand;Species and length unknown.
05/02/2020; 9:45 am;Maui; Kihei; Wailea Beach; approx 300 yds from shore;Stand-up paddleboarding;Clear;est 40 feet;"No injury; shark bit tail of SUP";Tiger shark, length estimated at 10 feet.
03/12/2019; 10:00 am;Maui; Kihei; approx 0.5 miles north of Kalama Beach Park and 200 yds from shore;;Stand-up paddleboarding;Clear;6-8 feet;"No injury; shark bit back of inflatable SUP";Tiger shark, length 10-12 feet.
26/09/2019; 9:00 am;Maui; Kihei; approx 0.5 miles north of Kalama Beach Park and 150 yds from shore;;Surfing;Turbid;8-10 feet;"No injury; shark bit tail of surfboard.";Tiger shark, length 8-10 feet.
18/09/2019; 10:10 am;Oahu; Haleiwa; approx 3 miles from shore;;Swimming with sharks;Clear;est 600 ft;Puncture wounds and laceration to right hand. Considered a provoked incident.;Galapagos shark, length 5-9 feet.
18/09/2019; 10:10 am;Oahu; Haleiwa; approx 3 miles from shore;;Swimming with sharks;Clear;est 600 ft;Puncture wounds to right chest and shoulder. Considered a provoked incident;Galapagos shark, length 5-9 feet.
18/09/2019; 10:10 am;Oahu; Haleiwa; approx 3 miles from shore;;Swimming with sharks;Clear;est 600 ft;Puncture wounds to right arm near elbow. Considered a provoked incident.;Galapagos or sandbar, length unknown.
20/08/2019; 8:00 am;Hawaii; Kealakekua Bay; approx. 15 yds from shore;;Treading water;Turbid;10-15 feet;Bitten on back of lower torso.;Species and length unknown.
11/08/2019; 7:00 pm;Oahu; Makaha Beach; approx 100 yds from shore;;Surfing;Turbid;est 8-10 feet;"No injury; shark bit nose of surfboard.";Species and length unknown.
29/07/2019; 10:25 pm;Oahu; Kaiwi Channel; approx 11 miles east-southeast of Sandy Beach;;Swimming;Clear;over 2,000 ft;Bitten on inner left thigh.;Cookiecutter shark, length unknown.
25/05/2019; 8:45 am;Maui; Honokowai; approx 120 yds from shore;;Swimming;Clear;15-20 ft;Fatal. Loss of left leg at knee. Lacerations to left arm and hand.;Species and length unknown.
08/05/2019; approx 9:00 am;Oahu; Haleiwa; approx 3 miles from shore;;Swimming with sharks;Clear;est 600 ft;Bitten on left arm and hand. Considered a provoked incident.;Requiem shark, length unknown.
23/04/2019; 8:30 am;Hawaii; Anaehoomalu; approx 35 yds from shore;;Paddling;Clear;est 30 ft;Severe lacerations to inner right thigh, lacerations and puncture wounds to inner right calf.;Requiem shark, length 6-8 feet.
06/04/2019; 1:00 am;Oahu; Kaiwi Channel; approx 12 miles east-southeast of Koko Head;;Swimming;Clear;over 2,000 ft;Bitten on back just below left shoulder.;Cookiecutter shark, length estimated at 1 foot.
16/03/2019; 3:30 am;Oahu; Kaiwi Channel; approx 12 miles east-southeast of Koko Head;;Swimming;Clear;over 2,000 ft;Bitten on lower abdomen.;Cookiecutter shark, length unknown.
04/02/2019; 1:30 pm;Kauai; Hanalei Bay; The Bowl; approx 320 yds from shore;Surfing;Turbid;est 6 feet;Large avulsion above left knee, additional puncture wounds to left leg.;Tiger shark, length uncertain.
08/09/2018; 8:25 am;Oahu; Laie; Pounders; approx one-half mile from shore;Surfing;Turbid;est 7-8 feet;Lacerations to right forearm.;Tiger shark, length estimated at 12 feet.
19/04/2018; 8:00 am;Kauai; Poipu; Shipwreck's Beach; approx 50 yds from shore;Body boarding;Clear;15-20 feet;Puncture wounds with slight avulsions to inner right thigh.;Tiger shark, length estimated at 8 feet.
31/03/2018; 9:30 am;Hawaii; North Kona; Kukio Beach; approx 125 yds from shore;Stand-up paddleboarding;Turbid;est 25 ft;"Severe lacerations to right forearm and hand; loss of right leg below knee.";Tiger shark, length estimated at 12 feet.
31/12/2017; 6:00 pm;Oahu; Kawailoa;" ""Hulton's"""; approx 25 yds from shore;Surfing;Clear;est 6-7 ft;Lacerations to back of left thigh.;Tiger shark, length 10-12 feet.
02/11/2017; 2:15 pm;Oahu; Makaha Beach; approx 30 yds from shore;;Surfing;Clear;est 6 ft;Lacerations to left leg below knee.;Species unknown, length estimated at 8 feet.
26/10/2017; 2:10 pm;Oahu; Kalaeloa; White Plains Beach; approx 200 yds from shore;Stand-up paddleboarding;Turbid;est 12 ft;"No injury; shark bit tail of SUP.";Tiger shark, length estimated at 8 feet.
09/10/2017; 5:45 pm;Kauai; Kekaha; Davidsons; approx 150 yds from shore;Surfing;Turbid;est 8 ft;Minor lacerations to left hand.;Tiger shark, length uncertain.
14/04/2017; 9:15 am;Kauai; Kekaha; Davidsons; approx 120 yds from shore;Surfing;Turbid;5-10 ft;Severe injuries to lower right leg.;Tiger shark, length 9-12 feet.
